Serial,Type,Reference,Question,Option_ক,Option_খ,Option_গ,Option_ঘ,Answer_Label,Answer_Text,Explanation
১৯,সাধারণ,,পাঁচ অঙ্ক বিশিষ্ট একটি সংখ্যার অযুতের ঘরে ৮ ও হাজারের ঘরে ৫ এবং অবশিষ্ট অঙ্কগুলো শূন্য (০) থাকলে সংখ্যাটি কিভাবে পড়তে হবে?,পঁচাশি হাজার,$\frac{z}{e}+2z+5y-\frac{p}{e}$ অখিল,পঁচাশি লক্ষ,আট হাজার পাঁচশ,,$\frac{z}{e}+2z+5y-\frac{p}{e}$,
২০,সাধারণ,,“ত্রিশ হাজার সত্তর” সংখ্যাটি কমা ব্যবহার করে অঙ্কে লিখলে কোনটি সঠিক হবে?,"৩,০৭০",$\frac{z}{e}+2z+5y-\frac{p}{e}$,"৩,০০,৭০","৩,০০,০৭০",খ,$\frac{z}{e}+2z+5y-\frac{p}{e}$,
২১,সাধারণ,,এক কোটি অপেক্ষা বড় কিন্তু দশ কোটি অপেক্ষা ছোট একটি স্বাভাবিক সংখ্যা লিখতে মোট কয়টি অঙ্ক লাগবে?,৯,$\frac{z}{e}+2z+5y-\frac{p}{e}$,৭,৬,খ,$\frac{z}{e}+2z+5y-\frac{p}{e}$,
২২,সাধারণ,,"৪, ৮, ১, ২, ৫, ৭, ৯ অঙ্কগুলো মাত্র একবার ব্যবহার করে সাত অঙ্কের ক্ষুদ্রতম সংখ্যা নিচের কোনটি?",৯৮৭৫৪২১,৮৫৯১২৪৫,১২৪৫৭৮৯,১২৪৫৭৯৮,গ,১২৪৫৭৮৯,
২৩,সাধারণ,,৭৩৪৫৫ সংখ্যাটির অঙ্কগুলোকে বিপরীতভাবে সাজিয়ে কথায় প্রকাশ করলে নিচের কোনটি সঠিক?,পঞ্চান্ন হাজার তিনশ সাঁইত্রিশ,পঞ্চান্ন হাজার চারশ সাঁইত্রিশ,পঞ্চান্ন হাজার সাতশ তেতাল্লিশ,পঞ্চান্ন হাজার তিনশ সাতচল্লিশ,খ,পঞ্চান্ন হাজার চারশ সাঁইত্রিশ,
২৪,সাধারণ,,নিচের কোনটি সাত অঙ্কের ক্ষুদ্রতম সংখ্যা?,১০০০০০০,১১১১১১১,১২৩৪৫৬৭,৯৯৯৯৯৯৯,ক,১০০০০০০,
২৫,সাধারণ,,নিচের কোনটি পাঁচ অঙ্কের বৃহত্তম সংখ্যা?,১১১১১,৯০০০০,৯৮৭৬৫,৯৯৯৯৯,ঘ,৯৯৯৯৯,
২৬,সাধারণ,,"১, ০, ৫, ৯, ৬, ৭ অঙ্কগুলো মাত্র একবার ব্যবহার করে ছয় অঙ্কের বৃহত্তম সংখ্যা নিচের কোনটি?",১০৯৭৫৬,৯৭৬৫১০,৯০৭৬৫১,৯৭৬৫১,খ,৯৭৬৫১০,
২৭,সাধারণ,,মৌলিক অঙ্কসমূহ এবং সহকারী অঙ্ক নিয়ে গঠিত পাঁচ অঙ্কের ক্ষুদ্রতম সংখ্যাটির কথায় প্রকাশ নিচের কোনটি? (প্রত্যেক অঙ্ক একবার ব্যবহার করতে হবে),বিশ হাজার তিনশ সাতান্ন,তেইশ হাজার পাঁচশ সত্তর,বিশ হাজার দুইশ পঁয়ত্রিশ,পঁচিশ হাজার দুইশ তিয়াত্তর,ক,বিশ হাজার তিনশ সাতান্ন,
২৮,সাধারণ,,"১০,৪৫,৬৭৮ সংখ্যাটির কমা ব্যবহারে কোন রীতি অনুসরণ করা হয়েছে?",দেশীয়,বিদেশী,গ্রিক,ল্যাটিন,ক,দেশীয়,
২৯,সাধারণ,,নিচের কোনটি পাঁচ অঙ্কের ক্ষুদ্রতম সংখ্যার আগের সংখ্যা?,৯৯৯৯৯,৯৯৯৯,৯৯৯,৯৯,খ,৯৯৯৯,
৩০,সাধারণ,,পরপর যেকোনো অঙ্কের ক্ষুদ্রতম সংখ্যাদ্বয়ের পার্থক্য ঐ দুই সংখ্যার অন্তর্গত ক্ষুদ্রতম সংখ্যার কতগুণ?,৯০০০,৯০০,৯০,৯,ঘ,৯,
৩১,উদ্দীপকভিত্তিক,,"দেশীয় সংখ্যাপঠন রীতিতে- অযুত ও হাজারের ঘর মিলিয়ে যত হাজার হয়, তত হাজার পড়া হয় নিযুত ও লক্ষের ঘর মিলিয়ে যত লক্ষ হয়, তত লক্ষ হিসেবে পড়া হয় হাজারের ঘরে সর্বোচ্চ দুইটি অঙ্ক লেখা যায় নিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ঘ,"i, ii ও iii",
৩২,সাধারণ,,একটি অঙ্ক মাত্র একবার ব্যবহার করে সাত অঙ্কের বৃহত্তম সংখ্যা নিচের কোনটি?,"৯৮,৭৫,৪৩০","৮৯,৭৫,৪৩০","৩৪,৫৭,৮৯০","৩০,৪৫,৭৮৯",ক,"৯৮,৭৫,৪৩০",
৩৩,সাধারণ,,একটি অঙ্ক মাত্র একবার ব্যবহার করে সাত অঙ্কের ক্ষুদ্রতম সংখ্যা নিচের কোনটি?,"৯৮,৭৫,৪৩০","৯০,৮৭,৫৪৩","৩৪,৫৭,৮৯০","৩০,৪৫,৭৮৯",ঘ,"৩০,৪৫,৭৮৯",
৩৪,সাধারণ,,১০০০০০০ সংখ্যাটি আন্তর্জাতিক রীতিতে কত?,দশ লক্ষ,১ মিলিয়ন,১ নিযুত,০.১ কোটি,খ,১ মিলিয়ন,
৩৫,সাধারণ,,আন্তর্জাতিক রীতিতে ডান দিক থেকে কত অঙ্ক পর প্রথম কমা বসাতে হয়?,এক অঙ্ক,দুই অঙ্ক,তিন অঙ্ক,চার অঙ্ক,গ,তিন অঙ্ক,
৩৬,উদ্দীপকভিত্তিক,,ছকে লিখিত সংখ্যাটি আন্তর্জাতিক পদ্ধতিতে পড়লে কী হবে?,একশ এগারো হাজার,এক মিলিয়ন এগারো হাজার,এগারো শ এগারো হাজার,এগারো মিলিয়ন এগারো হাজার,ক,একশ এগারো হাজার,
৩৭,সাধারণ,,কমা ব্যবহার করে ৯০০০০০ সংখ্যাটির আন্তর্জাতিক গণনার সঠিক রূপ কোনটি?,"৯,০০০০০","৯০,০০০০","৯০০,০০০","৯,০০,০০০",গ,"৯০০,০০০",
৩৮,সাধারণ,,"আন্তর্জাতিক গণনা পদ্ধতি অনুযায়ী বিলিয়ন, মিলিয়ন ও হাজারের ঘরে সর্বোচ্চ কত অঙ্ক বিশিষ্ট সংখ্যা লেখা যায়?",এক,দুই,তিন,চার,গ,তিন,
৩৯,উদ্দীপকভিত্তিক,,আন্তর্জাতিক রীতিতে- ১ মিলিয়ন = ১০ লক্ষ,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ঘ,"i, ii ও iii",
১,উদ্দীপকভিত্তিক,,",০০,০০০; ২০৪,০০০,০০০,০০০ ৪০. দ্বিতীয় সংখ্যাটি কথায় প্রকাশ করলে হবে?",২০৪ মিলিয়ন,বিশ হাজার মিলিয়ন,২ বিলিয়ন চল্লিশ মিলিয়ন,দুইশ চার বিলিয়ন,ঘ,দুইশ চার বিলিয়ন,
৪১,সাধারণ,,দেশীয় পদ্ধতিতে প্রথম সংখ্যাটির লিখিত রূপ কোনটি?,দশ লক্ষ,এক লক্ষ,একশত হাজার,১ কোটি,খ,এক লক্ষ,
৪২,সাধারণ,,১০০ কোটিতে কত বিলিয়ন?,১০০ বিলিয়ন,১০ বিলিয়ন,৫ বিলিয়ন,১ বিলিয়ন,ঘ,১ বিলিয়ন,
৪৩,সাধারণ,,৫ বিলিয়ন = কত কোটি?,৫ কোটি,৫০ কোটি,৫০০ কোটি,৫০০০ কোটি,গ,৫০০ কোটি,
৪৪,সাধারণ,,৭ মিলিয়নে কত লক্ষ?,১০,৭০,১০০,৫০০,খ,৭০,
৪৫,সাধারণ,,৬ বিলিয়ন = কত মিলিয়ন?,৬০,৬০০,৬০০০,৬০০০০,গ,৬০০০,
৪৬,উদ্দীপকভিত্তিক,,"১৫৬৭০০২৫৬১৯৮২ সংখ্যাটি- দেশীয় রীতিতে এক লক্ষ ছাপ্পান্ন হাজার সাতশ কোটি পঁচিশ লক্ষ একষট্টি হাজার নয়শ বিরাশি আন্তর্জাতিক রীতিতে এক ট্রিলিয়ন পাঁচশ সাতষট্টি বিলিয়ন দুই মিলিয়ন পাঁচশ একষট্টি হাজার নয়শ বিরাশি আন্তর্জাতিক রীতিতে কমা বসালে রূপান্তরিত রূপ ১, ৫৬৭, ০০২, ৫৬, ১৯, ৯৮২ নিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক,i ও ii,
৫০০০০০০,উদ্দীপকভিত্তিক,,", ১০০ কোটি ও ১০ লক্ষ ৪৭. প্রথম সংখ্যাটি কত মিলিয়নের সমান?",৫,৫০,৫০০,৫০০০,ক,৫,
৪৮,সাধারণ,,দ্বিতীয় সংখ্যাটি কত বিলিয়নের সমান?,১০০,২০,১০,১,ঘ,১,
৪৯,সাধারণ,,কমা ব্যবহার করে তৃতীয় সংখ্যাটির আন্তর্জাতিক সঠিক রূপ কোনটি?,"১০,০০০,০০","১,০০০,০০০","১০০০,০০০","১০,০০,০০,০",খ,"১,০০০,০০০",
৫০,সাধারণ,,সহকারী অঙ্ক কোনটি?,০,১,২,৩,ক,০,
৫১,সাধারণ,,৬২৩৬০৫ সংখ্যাটির ৬ এর স্থানীয় মানদ্বয়ের পার্থক্য কত?,৬৯৯৪০০,৫৯৯৪০০,৬৯৯৪০,৫৯৯৪০,খ,৫৯৯৪০০,
৫২,সাধারণ,,১৩৬৭০৫২ সংখ্যাটি দেশীয় রীতিতে কমা বসিয়ে লিখলে কি হবে?,"১, ৩৬৭, ০৫২","১৩,৬৭০,৫২","১৩,৬৭,০৫২","১৩,৬৭,০৫,২",গ,"১৩,৬৭,০৫২",
৫৩,সাধারণ,,তিন বিলিয়ন বারো মিলিয়ন তিনশ সাঁইত্রিশ হাজার নয়শ সাতাত্তরকে অঙ্কে প্রকাশ করলে কি হবে?,৩০১২৩৩৭৯৭৭,৩১২৩৩৭৯৭৭,৩০১২৩৭৯৭৭,৩১২৩৭৯৭৭,ক,৩০১২৩৩৭৯৭৭,
৫৪,উদ্দীপকভিত্তিক,,দেশীয় ও আন্তর্জাতিক এককের সম্পর্ক অনুসারে- ৫ মিলিয়ন ১০০ হাজার ৫১ লক্ষ ২০০ কোটি ১০ লক্ষ ২ বিলিয়ন ১ মিলিয়ন ১৩২ মিলিয়ন ২০০ হাজার ১ কোটি ৩২ লক্ষ ২০ হাজার নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক,i ও ii,
৫৫,সাধারণ,,নিচের কোন সংখ্যাটি ৬ অঙ্কের বৃহত্তম সংখ্যা হতে ১ বেশি?,১০০০০,১০০০০০,১০০০০০০,১০০০০০০০,গ,১০০০০০০,
৫৬,সাধারণ,,একটি ছয় অঙ্কবিশিষ্ট সংখ্যার অযুত ও লক্ষের ঘরে যথাক্রমে ৫ ও ৮ এবং বাকি অঙ্কগুলো শূন্য হলে আন্তর্জাতিক রীতিতে সংখ্যাটি কিভাবে পড়তে হবে?,আটশ পঞ্চাশ হাজার,আট লক্ষ পঞ্চাশ হাজার,পঁচাশি লক্ষ,আট মিলিয়ন পাঁচশ হাজার,ক,আটশ পঞ্চাশ হাজার,
৫,উদ্দীপকভিত্তিক,,", ০, ২, ৮, ৯, ৬ অঙ্কগুলো একবার ব্যবহার করে ছয় অঙ্কের কতগুলো সংখ্যা গঠন করা হলো ৫৭. গঠিত সংখ্যাগুলোর মধ্যে ক্ষুদ্রতম সংখ্যা কোনটি?",২০৫৬৮৯,২০৫৬৯৮,২০৫৮৬৯,২০৬৫৮৯,ক,২০৫৬৮৯,
৫৮,সাধারণ,,গঠিত সংখ্যাগুলোর মধ্যে ৫ দিয়ে শুরু বৃহত্তম সংখ্যা কোনটি?,৫০৮৯৬২,৫৮৯৬২০,৫৯৮৫৬০,৫৯৮৬২০,ঘ,৫৯৮৬২০,
৫৯,উদ্দীপকভিত্তিক,,"৮, ১, ৬, ৫, ০, ৭ অঙ্কগুলো- দ্বারা গঠিত ছয় অঙ্কের ক্ষুদ্রতম সংখ্যা ১০৫৬৭৮ এর মধ্যে ছয়টি সার্থক অঙ্ক বিদ্যমান এর মধ্যে পাঁচটি স্বাভাবিক সংখ্যা বিদ্যমান নিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ,i ও iii,
৬০,উদ্দীপকভিত্তিক,,৫০০০ অপেক্ষা বড় কিন্তু ৫০০০০ অপেক্ষা ছোট সংখ্যাগুলোর মধ্যে- চার অঙ্ক বিশিষ্ট বৃহত্তম সংখ্যা ৯৯৯৯ পাঁচ অঙ্ক বিশিষ্ট বৃহত্তম সংখ্যা ৪৯৯৯৯ চার অঙ্ক বিশিষ্ট ক্ষুদ্রতম সংখ্যা ৫০০০ নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক,i ও ii,
৬১,সাধারণ,,কোম্পানির আয়কে দেশীয় রীতিতে প্রকাশ করলে কি হবে?,২১৩৩ কোটি ৬৩ লক্ষ ৫৭ হাজার ৯৮২,২১৩৩ কোটি ৩ লক্ষ ৫৭ হাজার ৯৮২,২১৩ কোটি ৩৬ লক্ষ ৫৭ হাজার ৯৮২,২১৩ কোটি ৩ লক্ষ ৫৭ হাজার ৯৮২,ক,২১৩৩ কোটি ৬৩ লক্ষ ৫৭ হাজার ৯৮২,
৬২,সাধারণ,,আন্তর্জাতিক রীতিতে কোম্পানির আয় কিভাবে পড়তে হবে?,২ বিলিয়ন ৩৩৬ কোটি ৩৫৭ হাজার ৯৮২,২ বিলিয়ন ১৩৩৬ মিলিয়ন ৩৫৭ হাজার ৯৮২,২১ বিলিয়ন ৩৩৬ মিলিয়ন ৩৫৭ হাজার ৯৮২,২১ বিলিয়ন ৩৩৬৩ মিলিয়ন ৫৭ হাজার ৯৮২,গ,২১ বিলিয়ন ৩৩৬ মিলিয়ন ৩৫৭ হাজার ৯৮২,
৬৩,সাধারণ,,দশ লক্ষ অপেক্ষা বড় কিন্তু এক কোটি অপেক্ষা ছোট কোন সংখ্যায় সর্বনিম্ন কয়টি স্বাভাবিক অঙ্ক থাকতে পারে?,১,২,৩,৪,ক,১,
৬৪,সাধারণ,,২ কোটিতে কত লক্ষ?,২০,৫০,১০০,২০০,ঘ,২০০,
১,সাধারণ,,একমাত্র জোড় মৌলিক সংখ্যা নিচের কোনটি?,২,৩,৫,৭,ক,২,
২,সাধারণ,,৭০ থেকে ৮০ পর্যন্ত মৌলিক সংখ্যা কয়টি?,১,২,৩,৪,গ,৩,
৩,সাধারণ,,সবচেয়ে ছোট বিজোড় মৌলিক সংখ্যা নিচের কোনটি?,১,২,৩,৫,গ,৩,
৪,সাধারণ,,১০ থেকে ২০ পর্যন্ত মৌলিক সংখ্যা কয়টি?,৩টি,৪টি,৫টি,৬টি,খ,৪টি,
৫,সাধারণ,,নিচের কোনটি মৌলিক সংখ্যা নয়?,১৯,২৯,৩৭,৪৯,ঘ,৪৯,
৬,সাধারণ,,গুণনীয়ককে কী বলা হয়?,গুণফল,গুণ্য,গুণক,উৎপাদক,ঘ,উৎপাদক,
৭,সাধারণ,,মৌলিক সংখ্যার গুণনীয়ক কয়টি?,১,২,৩,৪,খ,২,
৮,সাধারণ,,২৫ এর গুণনীয়কগুলোর যোগফল কত?,৭,২৫,৩১,৭৩,গ,৩১,
৯,সাধারণ,,৩৫ এর গুণনীয়ক কয়টি?,১,২,৩,৪,ঘ,৪,
১০,সাধারণ,,৬০ থেকে ১০০ এর মধ্যে কয়টি মৌলিক সংখ্যা আছে?,৬,৮,১০,১২,খ,৮,
১১,সাধারণ,,৬৩ এর মৌলিক উৎপাদক কয়টি?,৪,৩,২,১,গ,২,
১২,সাধারণ,,নিচের কোনটি যৌগিক সংখ্যা?,৪১,৪৭,৫৯,৬৩,ঘ,৬৩,
১৩,সাধারণ,,দুই অঙ্ক বিশিষ্ট বৃহত্তম মৌলিক সংখ্যা কোনটি?,১১,৯৭,৯৮,৯৯,খ,৯৭,
১৪,উদ্দীপকভিত্তিক,,মৌলিক সংখ্যা- ১ হতে বৃহত্তর প্রথমটি জোড় ব্যতীত সকল সংখ্যা যৌগিক সংখ্যা নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক,i ও ii,
১৫,উদ্দীপকভিত্তিক,,মৌলিক ও যৌগিক সংখ্যার ক্ষেত্রে- ১ একটি মৌলিক সংখ্যা প্রথম যৌগিক সংখ্যাটি হলো ৪ প্রথম মৌলিক ও যৌগিক সংখ্যার পার্থক্য ২ নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",গ,ii ও iii,
১৬,সাধারণ,,৩৫ এর মৌলিক গুণনীয়কগুলোর সমষ্টি কত?,৫,৭,১২,১৩,গ,১২,
১৭,সাধারণ,,৩০ থেকে ৫০ এর মধ্যে অবস্থিত বৃহত্তম ও ক্ষুদ্রতম মৌলিক সংখ্যাদ্বয়ের পার্থক্য কত?,১৫,১৬,১৭,১৮,খ,১৬,
১৮,সাধারণ,,দুই বা ততোধিক সংখ্যার সাধারণ গুণনীয়ক কত হলে সংখ্যাগুলো পরস্পর সহমৌলিক হয়?,১,৫,৭,৮,ক,১,
১৯,সাধারণ,,কোন জোড়াটি সহমৌলিক?,"২৫, ৩৫","৮, ৫৬","৩৮, ৬৮","২১, ২৫",ঘ,"২১, ২৫",
২০,সাধারণ,,নিচের জোড়া সংখ্যাগুলোর কোনগুলো সহমৌলিক নয়?,"১২, ১৫","১৯, ২০","২৩, ২৭","২৯, ৩১",ক,"১২, ১৫",
২১,সাধারণ,,৩০ এর মোট গুণনীয়ক কতটি?,৬,৭,৮,৯,গ,৮,
২২,উদ্দীপকভিত্তিক,,উদ্দীপকের আলোকে- ২৩ সংখ্যাটি মৌলিক নয়। ২৩ ও ৩০ সহমৌলিক। ৩০ ও ৪৮ সহমৌলিক নয়। নিচের কোনটি সঠিক?,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",খ,ii ও iii,
২৩,সাধারণ,,"কোনো সংখ্যার একক স্থানীয় অঙ্ক ০ বা ৫ হলে, সংখ্যাটি কত দ্বারা বিভাজ্য হবে?",২,৩,৫,৯,গ,৫,
২৪,সাধারণ,,নিচের কোন সংখ্যাটি ৪ ও ৫ দ্বারা বিভাজ্য?,২৫৫,৫৩০,৬৬৪,৯০০,ঘ,৯০০,
২৫,সাধারণ,,কোন সংখ্যাটি ৯ দ্বারা বিভাজ্য?,১২৩,১২৬,১২৯,৩২৯,খ,১২৬,
২৬,সাধারণ,,যেকোনো সংখ্যাকে ২ দ্বারা গুণ করলে গুণফলের একক স্থানীয় অঙ্কটি কত হবে?,২ বা ৫,"০, ২, ৪ বা ৯","০, ২, ৪, ৬ বা ৮","০, ২, ৪, ৮ বা ৯",গ,"০, ২, ৪, ৬ বা ৮",
২৭,সাধারণ,,একটি সংখ্যার শেষ অঙ্ক দুটি শূন্য হলে সেটি কত দ্বারা বিভাজ্য হবে না?,২ ও ৫,২ ও ৪,৪ ও ৫,৪ ও ৬,ঘ,৪ ও ৬,
২৮,সাধারণ,,৩৫৭     ২ সংখ্যাটির     চিহ্নিত স্থানে কোন অঙ্ক বসলে তা ৬ দ্বারা বিভাজ্য হবে?,০,১,২,৩,খ,১,
২৯,সাধারণ,,কোনো সংখ্যা ৩ ও ৪ দ্বারা বিভাজ্য হলে নিচের কোনটি দ্বারা নিঃশেষ বিভাজ্য হবে?,৭,৮,৯,১২,ঘ,১২,
৩০,সাধারণ,,নিচের কোন সংখ্যাটি ৯ দ্বারা বিভাজ্য নয়?,৯৬৩,৮৭৩,৭১১,৫১৪,ঘ,৫১৪,
৩১,সাধারণ,,৩৫৬ সংখ্যাটি নিচের কোনটি দ্বারা বিভাজ্য?,৩,৪,৬,৯,খ,৪,
৩২,সাধারণ,,নিচের কোন সংখ্যাটি ৩ দ্বারা নিঃশেষে বিভাজ্য?,২৭৩,২৯৫,৩১৭,৩২৫,ক,২৭৩,
৩৩,সাধারণ,,কোনো সংখ্যা ২ এবং ৩ দ্বারা বিভাজ্য হলে সংখ্যাটি কত দ্বারা নিঃশেষে বিভাজ্য?,৫,৬,৭,৮,খ,৬,
