Serial,Question,Option_ক,Option_খ,Option_গ,Option_ঘ,Answer_Label,Answer_Text,Explanation
১১,১ .   4𝑎^{-1}.sqrt(𝑎^{2})^{3}   এর   মান   নিচের   কোনটি ?   [ সি .  বো .  ২১ ] [ টপিক :  সূচকের   মান   নির্ণয় ],(1)/(64𝑎^{2}),(1)/(64𝑎),64𝑎^{2},64𝑎^{3},খ,(1)/(64𝑎),
১২,২ .   sqrt(𝑥^{9}sqrt(𝑥^{6}))   এর   মান   নিচের   কোনটি ?   [ দি .  বো .  ২১ ] [ টপিক :  সূচকের   মান   নির্ণয় ],sqrt(𝑥),𝑥,𝑥sqrt(𝑥),𝑥^{2},গ,𝑥sqrt(𝑥),
১৩,.   sqrt(𝑎^{8}sqrt(𝑎^{6}sqrt(𝑎^{4})))   এর   সরলমান   কোনটি ?,𝑎^{12},𝑎^{(1)/(12)},𝑎^{(1)/(2)},𝑎^{0},a,𝑎^{(1)/(2)},
১৪,৪ .   sqrt(𝑥^{10}sqrt(𝑥^{8}sqrt(𝑥^{4})))   এর   সরলমান   কোনটি ?   [ সি .  বো .  ২৩ ] [ টপিক :  সূচকের   মান   নির্ণয় ],𝑥^{15},𝑥,sqrt(𝑥),1,খ,𝑥,
১৫,৫ .   sqrt(𝑥^{10}sqrt(𝑥^{8}sqrt(𝑥^{4})))   এর   সরলমান   কোনটি ?   [ ঢা .  বো .  ১৬ ] [ টপিক :  সূচকের   মান   নির্ণয় ],𝑥^{15},𝑥,𝑥^{(1)/(15)},1,খ,𝑥,
১৬,৬ .   sqrt(𝑥^{2}sqrt(𝑥^{6}sqrt(𝑥^{8})))=   কত ?   [ দি .  বো .  ১৫ ] [ টপিক :  সূচকের   মান   নির্ণয় ],0,1,𝑥,𝑥^{2},ঘ,𝑥^{2},
১৭,৭ .   sqrt(𝑥^{11}sqrt(𝑥^{2}.𝑥^{2}))   এর   মান   কত ?   [ ব .  বো .  ২০ ] [ টপিক :  সূচকের   মান   নির্ণয় ],𝑥^{16},𝑥^{8},𝑥^{2},𝑥,ঘ,𝑥,
১৮,৮ .   sqrt(𝑥^{7}sqrt(𝑥^{18}sqrt(𝑥^{36})))=   কত ?   [ চ .  বো .  ১৯ ] [ টপিক :  সূচকের   মান   নির্ণয় ],𝑥,𝑥^{(22)/(17)},𝑥^{(24)/(17)},𝑥^{15},খ,𝑥^{(22)/(17)},
১৯,৯ .   sqrt(𝑥^{6}sqrt(𝑥^{16}sqrt(𝑥^{18}))=)   কত ?   [ য .  বো .  ২১ ] [ টপিক :  সূচকের   মান   নির্ণয় ],𝑥^{(17)/(13)},𝑥^{(13)/(17)},𝑥^{(19)/(13)},𝑥^{(13)/(19)},ক,𝑥^{(17)/(13)},
২০,.   sqrt(𝑥^{5}sqrt(𝑥^{12}sqrt(𝑥^{15})))  - এর   মান   কত ?   [ ঢা .  বো .  ২১ ] [ টপিক :  সূচকের   মান   নির্ণয় ],0,𝑥^{(5)/(2)},𝑥^{5},𝑥^{6},গ,𝑥^{5},
২১,১.   sqrt(𝑥^{8}sqrt(𝑥^{6}sqrt(𝑥^{4})))   এর   মান   নিচের   কোনটি ?   [ চ .  বো .  ২১ ] [ টপিক :  সূচকের   মান   নির্ণয় ],𝑥,𝑥^{2},𝑥^{3},𝑥^{4},খ,𝑥^{2},
২২,.  sqrt(𝑥^{11}sqrt(𝑥^{6}sqrt(𝑥^{4})))   এর   মান   কত ? [ চ .  বো .  ২০ ] [ টপিক :  সূচকের   মান   নির্ণয় ],𝑥,𝑥^{2},𝑥^{3},𝑥^{4},ক,𝑥,
২৩,.   sqrt(𝑎^{12}sqrt(𝑎^{6}sqrt(𝑎^{4})))   এর   মান   নিচের   কোনটি ?   [ সি .  বো .  ২০ ] [ টপিক :  সূচকের   মান   নির্ণয় ],𝑎^{6},𝑎^{4},𝑎,1,a,𝑎,
২৪,.   sqrt(𝑥^{10}sqrt(𝑥^{6}sqrt(𝑥^{4})))   এর   মান   কত ?   [ দাখিল ২০১৯ ] [ টপিক :  সূচকের   মান   নির্ণয় ],𝑥^{2},𝑥^{7},𝑥^{10},𝑥^{14},ক,𝑥^{2},
২৫,.   sqrt(sqrt(sqrt(729)))   এর   মান   কত ?   [ ঢা .  বো .  ১৫ ] [ টপিক :  সূচকের   মান   নির্ণয় ],3^{(1)/(9)},3^{(2)/(9)},3^{(1)/(3)},3,খ,3^{(2)/(9)},
২৬,".   𝑥^{𝑎}=𝑦, 𝑦^{𝑏}=𝑧   এবং   𝑧^{𝑐}=𝑥   হলে   𝑎𝑏𝑐   এর   মান   কত ?   [ য .  বো .  ২৪ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",-1,0,1,10,গ,1,
২৭,".   যদি   𝑥^{𝑎}=𝑦, 𝑦^{𝑏}=𝑧   এবং   𝑧^{𝑐}=𝑥   হয় ,  তবে   𝑎𝑏𝑐=   কত ?   [ চ .  বো .  ১৬ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",0,1,2,3,খ,1,
২৮,".   𝑎^{1}=𝑏, 𝑏^{𝑚}=𝑐, 𝑐^{𝑛}=𝑎   হয় ,  𝑙𝑚𝑛   এর   মান   কত ?   [ রা .  বো .  ১৫ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",𝑎𝑏𝑐,(1)/(𝑎𝑏𝑐),1,-1,গ,1,
২৯,".   𝑎^{𝑥}=𝑏, 𝑏^{𝑦}=𝑐   এবং   𝑐^{𝑧}=𝑎   হলে   𝑥𝑦𝑧=   কত ?",-1,0,1,2,গ,1,
৩০,".   যদি   𝑎^{𝑥}=𝑏^{𝑦}=𝑐^{𝑧}   এবং   𝑎𝑏𝑐=1   হয় ,  তবে   নিচের   কোনটি   সঠিক ?   [ দি .  বো .  ১৭ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",𝑥+𝑦+𝑧=0,𝑎𝑥+𝑏𝑦+𝑐𝑧=0,(1)/(𝑥)+(1)/(𝑦)+(1)/(𝑧)=0,(1)/(𝑥)+(1)/(𝑦)+(1)/(𝑧)=1,গ,(1)/(𝑥)+(1)/(𝑦)+(1)/(𝑧)=0,
৩১,১.   𝑥^{(1)/(𝑝)}=𝑦^{(1)/(𝑞)}=𝑧^{(1)/(𝑟)}   এবং   𝑥𝑦𝑧=1   হলে,𝑥=𝑦^{(𝑝)/(𝑞)},𝑥=𝑦^{(𝑞)/(𝑝)},𝑥=𝑥^{(𝑟)/(𝑞)},𝑧=𝑦^{(𝑞)/(𝑟)},ক,𝑥=𝑦^{(𝑝)/(𝑞)},
৩২,.   𝑥^{(1)/(𝑝)}=𝑦^{(1)/(𝑞)}=𝑧^{(1)/(𝑟)}   এবং   𝑥𝑦𝑧=1   হলে 𝑝+𝑞+𝑟   এর   মান   কোনটি ? [ চ .  বো .  ২১ ] [ টপিক :  সূচকের   মান   নির্ণয় ],0,1,𝑥𝑦𝑧,(1)/(𝑥)+(1)/(𝑦)+(1)/(𝑧),ক,0,
৩৩,.   𝑝^{(1)/(𝑥)}=𝑞^{(1)/(𝑦)}=𝑟^{(1)/(𝑧)}   এবং   𝑝𝑞𝑟=1   হলে,𝑝=𝑞^{(𝑦)/(𝑥)},𝑝=𝑞^{(𝑥)/(𝑦)},𝑝=𝑞^{(1)/(𝑥𝑦)},𝑝=𝑟^{(1)/(𝑧𝑥)},খ,𝑝=𝑞^{(𝑥)/(𝑦)},
৩৪,.  𝑝^{(1)/(𝑥)}=𝑞^{(1)/(𝑦)}=𝑟^{(1)/(𝑧)}   এবং   𝑝𝑞𝑟=1   হলে 𝑥+𝑦+𝑧   এর   মান   কোনটি ?   [ রা .  বো .  ২০ ] [ টপিক :  সূচকের   মান   নির্ণয় ],0,1,𝑝𝑞𝑟,(1)/(𝑝)+(1)/(𝑞)+(1)/(𝑟),ক,0,
৩৫,".   যদি   𝑥^{𝑦}=𝑦^{𝑥}   হয় ,  তবে - (𝑥)/(𝑦)^{(𝑥)/(𝑦)}   এর   মান   কোনটি ?   [ ঢা .  বো .  ১ ৬ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",𝑥^{(𝑥)/(𝑦)-1},𝑥^{(𝑦)/(𝑥)-1},𝑥^{1-(𝑥)/(𝑦)},𝑥^{1-(𝑦)/(𝑥)},ক,𝑥^{(𝑥)/(𝑦)-1},
৩৬,".   যদি   𝑥^{𝑦}=𝑦^{𝑥}   হয় ,  তবে - 𝑥=2𝑦   হলে ,  𝑦   এর   মান   কত ? [ ঢা .  বো .  ১৬ ]   [ টপিক :  সূচকের   মান   নির্ণয় ]",2,3,4,5,ক,2,
৩৭,".   3^{2𝑥+5}=3.5^{2𝑥+4}   হলে ,  𝑥= ?   [ রা .  বো .  ২৪ ] [ টপিক :  সূচকের   সমাধান ]",-2,-(3)/(2),+(3)/(2),2,ক,-2,
৩৮,".   4^{𝑥+7}=2^{𝑥+2}   হলে ,  𝑥   এর   মান   কত ?",-12,-7,7,14,ক,-12,
৩৯,".   3^{3𝑥}=9^{𝑥+1}   হলে ,  𝑥   এর   মান   কত ?   [ দি .  বো .  ২৪ ] [ টপিক :  সূচকের   সমাধান ]",4,2,1,0,খ,2,
৪০,.   9^{2𝑥+2}=25^{𝑥+1}   এর   সমাধান   নিচের   কোনটি ?   [ ময় .  বো .  ২৪ ] [ টপিক :  সূচকের   সমাধান ],-3,-2,-1,2,গ,-1,
৪১,১.   2^{𝑥+7}=4^{𝑥+2}   সমীকরণটির   সমাধান   নিচের   কোনটি ?   [ রা .  বো .  ১ ৬ ] [ টপিক :  সূচকের   সমাধান ],5,4,3,2,গ,3,
৪২,".   9^{5𝑥}=3^{𝑥+1}   হলে ,  𝑥   এর   মান   কত ?   [ টপিক :  সূচকের   সমাধান ]",(1)/(8),(1)/(9),(1)/(6),(1)/(4),খ,(1)/(9),
৪৩,".   25^{3𝑥}=5^{𝑥+1}   হলে ,  𝑥   এর   মান   কত ?   [ দাখিল ২০১৯ ] [ টপিক :  সূচকের   সমাধান ]",(1)/(8),(1)/(5),(1)/(4),(1)/(2),খ,(1)/(5),
৪৪,".  8^{2𝑥}=2^{𝑥+5}   হলে ,  𝑥   এর   মান   নিচের   কোনটি ?",(5)/(8),(5)/(7),1,5,গ,1,
৪৫,".  3^{𝑥}=3sqrt(3)   হলে ,  𝑥   এর   মান   কত ? [ ব .  বো .  ২১ ] [ টপিক :  সূচকের   সমাধান ]",(1)/(2),(2)/(3),(3)/(2),(5)/(2),গ,(3)/(2),
৪৬,".   𝑥^{2𝑥}=𝑥sqrt(𝑥)   হলে ,  𝑥   এর   মান   কত ?   [ দাখিল ২০২০ ] [ টপিক :  সূচকের   সমাধান ]",(3)/(2),(3)/(4),(1)/(3),(1)/(4),খ,(3)/(4),
৪৭,.   3^{𝑎𝑥-1}=3𝑏^{𝑎𝑥-2}   এর   সমাধান   কোনটি ?   [ চ .  বো .  ১৯ ] [ টপিক :  সূচকের   সমাধান ],(𝑎)/(2),(-2)/(𝑎),(1)/(𝑎),(2)/(𝑎),ঘ,(2)/(𝑎),
৪৮,".   3^{𝑚𝑥-1}=3𝑎^{𝑚𝑥-2};𝑎>0, 𝑎≠3, 𝑚≠0   হলে ,  𝑥   এর   মান   কত ?   [ ঢা .  বো .  ১ ৬ ] [ টপিক :  সূচকের   সমাধান ]",(𝑚)/(2),(2)/(𝑚),2𝑚,2^{𝑚},খ,(2)/(𝑚),
৪৯,.   7^{𝑎𝑥-1}=49^{𝑎𝑥-1}   এর   সমাধান   কোনটি ?   [ দাখিল ২০১৯ ] [ টপিক :  সূচকের   সমাধান ],-(1)/(𝑎),-(3)/(𝑎),(1)/(3𝑎),(1)/(𝑎),ঘ,(1)/(𝑎),
৫০,".   3.27^{𝑦}=9^{𝑦+4}   হলে ,  𝑦   এর   মান   কত ?   [ ঢা .  বো .  ১৯ ] [ টপিক :  সূচকের   সমাধান ]",(7)/(5),(9)/(5),4,7,ঘ,7,
৫১,"১ .   3.27^{𝑛}=9^{𝑛+3}   হলে ,  𝑛   এর   মান   কত ?   [ ম .  বো .  ২৩ ] [ টপিক :  সূচকের   সমাধান ]",(3)/(2),(9)/(3),5,7,গ,5,
৫২,".   sqrt(3)^{𝑥+5}=sqrt(3)^{2𝑥+5}   হলে ,  𝑥   এর   মান   কত ?   [ দি .  বো .  ১ ৬ ] [ টপিক :  সূচকের   সমাধান ]",7,6,5,4,গ,5,
৫৩,".   7^{3𝑥-6}=5^{3𝑥-6}   হলে ,  𝑥   এর   মান   কত ?   [ দি .  বো .  ১৯ ] [ টপিক :  সূচকের   সমাধান ]",-2,(1)/(2),(7)/(5),2,ঘ,2,
৫৪,".   sqrt(𝑦^{5})=2.sqrt(𝑦^{2})   হলে ,  𝑦   এর   মান   কত ?   [ রা .  বো .  ১ ৬ ] [ টপিক :  সূচকের   সমাধান ]",1,2,(7)/(3),(10)/(3),খ,2,
৫৫,".   যদি   𝑎sqrt(𝑎)^{4𝑎}=𝑎^{3}^{𝑎sqrt(𝑎)}   হয় ,  তবে   𝑎   এর   মান   কত ?   [ রা .  বো .  ২৪ ] [ টপিক :  সূচকের   সমাধান ]",(3)/(2),2,(9)/(4),4,ঘ,4,
৫৬,.   যদি   𝑝^{𝑝sqrt(𝑝)}=𝑝sqrt(𝑝)^{𝑝}   হয়   তবে   sqrt(𝑝)   এর   মান   কত ?   [ রা .  বো .  ২১ ] [ টপিক :  সূচকের   সমাধান ],(9)/(4),(4)/(9),(3)/(2),(2)/(3),গ,(3)/(2),
৫৭,".   𝑦^{𝑦}^{sqrt(𝑦)}=𝑦sqrt(𝑦)^{𝑦}   হলে ,  sqrt(𝑦)=   কত ?   [ য .  বো .  ২৩ ] [ টপিক :  সূচকের   সমাধান ]",0,1,(1)/(2),(3)/(2),ঘ,(3)/(2),
৫৮,".   যদি   𝑦^{𝑦sqrt(𝑦)}=𝑦sqrt(𝑦)^{𝑦}   হয় ,  তবে   𝑦   এর   মান   কত ?   [ চ .  বো .  ১ ৬ ] [ টপিক :  সূচকের   সমাধান ]",(2)/(3),(3)/(2),(9)/(4),(4)/(9),গ,(9)/(4),
৫৯,".   𝑥^{𝑥sqrt(𝑥)}=𝑥sqrt(𝑥)^{𝑥}   হলে ,  𝑥   এর   মান   কত ?   [ ঢা .  বো .  ১ ৫ ] [ টপিক :  সূচকের   সমাধান ]",(sqrt(3))/(sqrt(2)),(3)/(2),(9)/(2),(9)/(4),ঘ,(9)/(4),
৬০,".   𝑦^{𝑦}^{sqrt(𝑦)}=𝑦sqrt(𝑦)^{𝑦}   হলে ,  sqrt(𝑦)   কত ?   [ ব .  বো .  ২২ ] [ টপিক :  সূচকের   সমাধান ]",0,1,(1)/(2),(3)/(2),ঘ,(3)/(2),
৬১,"১ .   2^{2𝑥+3}-2^{𝑥+2}=112   হলে ,  𝑥   এর   মান   কত ?   [ চ .  বো .  ২৩ ] [ টপিক :  সূচকের   সমাধান ]",4,(7)/(2),2,-(7)/(2),গ,2,
৬২,".   2^{𝑦+3}+2^{𝑦+1}=320   হলে ,  𝑦= ?   [ ঢা .  বো .  ২৩ ] [ টপিক :  সূচকের   সমাধান ]",0,1,4,5,ঘ,5,
৬৩,.   3^{2𝑥}+3.27^{𝑥}=4   হলে   𝑥   এর   মান   কত ?   [ সি .  বো .  ১৯ ] [ টপিক :  সূচকের   সমাধান ],(5)/(3),1,(3)/(5),0,ঘ,0,
৬৪,.   𝑥^{𝑦}=𝑦^{𝑥}   এবং   𝑥=2𝑦   হলে   𝑦   এর   মান   কত ?   [ রা .  বো .  ১ ৫ ] [ টপিক :  সূচকের   সমাধান ],1,2,3,4,খ,2,
৬৫,".   𝑦^{𝑥}=9, 𝑦^{2}=3^{𝑥}   হলে   𝑥, 𝑦   সমান -   [ ব .  বো .  ১ ৬ ] [ টপিক :  সূচকের   সমাধান ]","2, 3, -2,(1)/(9)","2, 3, -2, +(1)/(3)","2,(1)/(9), -2, -3","-2, -(1)/(9), 2, 3",খ,"2, 3, -2, +(1)/(3)",
৬৬,".  𝑥^{𝑦}=𝑦^{𝑥}   এবং   𝑥=2𝑦   হলে ,  𝑥, 𝑦   সমান - [ য .  বো .  ১ ৬ ] [ টপিক :  সূচকের   সমাধান ]","2, 4","4, 2","3, 1","1, 3",খ,"4, 2",
৬৭,".   2^{𝑥}=8^{𝑦}   হলে ,  𝑥 :𝑦   এর   মান   নিচের   কোনটি ?   [ ম .  বো .  ২৪ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",1 :3,1 :2,2 :1,3 :1,ঘ,3 :1,
৬৮,".   4^{𝑥}=8^{𝑦}   হলে ,  (𝑥)/(𝑦)   এর   মান   কত ?   [ ম .  বো .  ২১ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",2,(3)/(2),(2)/(3),(1)/(2),খ,(3)/(2),
৬৯,".   যদি   16^{(1)/(𝑝)}=64^{(1)/(𝑞)}   হয় ,  তবে   (𝑝)/(𝑞)   এর   মান   কত ?   [ দি .  বো .  ১ ৭ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",(1)/(3),(2)/(3),(3)/(2),(8)/(3),খ,(2)/(3),
৭০,".   16^{𝑥}=64^{𝑦}   হলে ,  (𝑥)/(𝑦)=   কত ?   [ সি .  বো .  ১ ৬ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",(1)/(4),(2)/(3),(3)/(2),4,খ,(2)/(3),
৭১,"১.   8^{𝑎}=64^{𝑏}   হলে ,  𝑎 :𝑏   এর   মান   নিচের   কোনটি ?   [ ঢা .  বো .  ২১ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",1 :2,2 :1,2 :3,3 :2,খ,2 :1,
৭২,".   8^{𝑥}=16^{𝑦}   হলে ,  𝑦 :𝑥   এর   মান   কত ?",1 :2,3 :4,4 :3,2 :1,খ,3 :4,
৭৩,".   যদি   144^{𝑥}=1728^{𝑦}   হয় ,  তবে   (𝑥)/(𝑦)   এর   মান   কত ?   [ দি .  বো .  ১৯ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",(1)/(12),(2)/(3),(3)/(2),-(3)/(2),গ,(3)/(2),
৭৪,".   16^{(1)/(𝑥)}=64^{(1)/(𝑦)}   হয় ,  তবে   (𝑦)/(𝑥)   এর   মান   কত ?   [ ম .  বো .  ২০ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",(1)/(3),(1)/(2),(2)/(3),(3)/(2),ঘ,(3)/(2),
৭৫,".   4^{(1)/(𝑥)}=64^{(1)/(𝑦)}   হলে ,  𝑥 :𝑦=   কোনটি ?",1 :3,1 :2,2 :1,3 :1,ক,1 :3,
৭৬,".   sqrt(4^{𝑥})=sqrt(8^{𝑦})   হলে ,  (𝑥)/(𝑦)   এর   মান   কত ?   [ ব .  বো .  ২৩ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",(2)/(3),(3)/(4),(4)/(3),(3)/(2),খ,(3)/(4),
৭৭,".   sqrt(𝑝)=sqrt(𝑞)=sqrt(𝑟)   হলে ,  𝑝𝑟=   কত ?   [ দাখিল ২০১৯ ] [ টপিক :  সূচকের   মান   নির্ণয় ]",𝑞^{2},sqrt(𝑞),sqrt(𝑞^{2}),sqrt(𝑞^{88}),ক,𝑞^{2},
৭৮,".   sqrt(𝑥)=sqrt(𝑦)=sqrt(𝑧)   হলে ,  𝑥𝑦=   কত ?",𝑧,sqrt(𝑧),sqrt(𝑧),sqrt(𝑧),ক,𝑧,
৭৯,.   𝑙𝑜𝑔_{sqrt(3)}81=   কত ?   [ দাখিল ২০১৯ ] [ টপিক :  লগের   মান   নির্ণয় ],81sqrt(3),27sqrt(3),8,4,গ,8,
৮০,.   𝑙𝑜𝑔_{sqrt(3)}81   এর   মান   নিচের   কোনটি ?   [ চ .  বো .  ২১ ] [ টপিক :  লগের   মান   নির্ণয় ],4,8,27sqrt(3),81sqrt(3),খ,8,
৮১,১.   𝑙𝑜𝑔_{sqrt(2)}8   এর   মান   কত ?   [ ব .  বো .  ২৩ ] [ টপিক :  লগের   মান   নির্ণয় ],3,4sqrt(2),6,8sqrt(2),গ,6,
৮২,.  𝑙𝑜𝑔_{sqrt(8)}4   এর   মান   কত ? [ রা .  বো .  ১৯ ] [ টপিক :  লগের   মান   নির্ণয় ],8,2,(4)/(3),(3)/(4),গ,(4)/(3),
৮৩,.   𝑙𝑜𝑔_{2sqrt(5)}400   এর   মান   কোনটি ?   [ চ .  বো .  ২৩ ] [ টপিক :  লগের   মান   নির্ণয় ],2,4,6,8,খ,4,
৮৪,.   𝑙𝑜𝑔_{sqrt(𝑎)}𝑎^{3}   এর   মান   কত ?   [ দাখিল ২০১৭ ] [ টপিক :  লগের   মান   নির্ণয় ],(3)/(2),3,6,9,গ,6,
৮৫,.   𝑙𝑜𝑔_{sqrt(2)}16sqrt(2)=   কত ?   [ ঢা .  বো .  ১৫ ] [ টপিক :  লগের   মান   নির্ণয় ],2(2)/(sqrt(2)),4,8,9,ঘ,9,
৮৬,.   𝑙𝑜𝑔_{3}(1)/(sqrt(3))=   কত ?,-3,-(1)/(3),(1)/(3),3,খ,-(1)/(3),
৮৭,.   𝑙𝑜𝑔_{5}(1)/(25)   এর   মান   কত ?,5,-5,2,-2,ঘ,-2,
৮৮,.   7𝑙𝑜𝑔_{7}3^{2}   এর   মান   কত ?   [ য .  বো .  ২৩ ] [ টপিক :  লগের   মান   নির্ণয় ],2,3,7,9,ঘ,9,
৮৯,.   5𝑙𝑜𝑔5^{3^{2}}   এর   মান   কত ?   [ ব .  বো .  ২৩ ] [ টপিক :  লগের   মান   নির্ণয় ],2,3,5,9,ঘ,9,
৯০,.   5𝑙𝑜𝑔5^{30}   এর   মান   কত ?   [ ম .  বো .  ২১ ] [ টপিক :  লগের   মান   নির্ণয় ],5,25,30,900,গ,30,
৯১,১.   𝑙𝑜𝑔_{5}25+𝑙𝑜𝑔_{25}5=   কত ?   [ ম .  বো .  ২২ ] [ টপিক :  লগের   মান   নির্ণয় ],1,2,(5)/(2),5,গ,(5)/(2),
৯২,.  𝑙𝑜𝑔_{3}15-𝑙𝑜𝑔_{3}5= ? [ দাখিল ২০১৯ ] [ টপিক :  লগের   মান   নির্ণয় ],𝑙𝑜𝑔_{3}10,𝑙𝑜𝑔_{3}75,1,27,গ,1,
৯৩,.   𝑙𝑜𝑔_{81}3+𝑙𝑜𝑔_{27}3=   কত ?   [ চ .  বো .  ২২ ] [ টপিক :  লগের   মান   নির্ণয় ],(7)/(12),(12)/(7),1,7,ক,(7)/(12),
৯৪,.   𝑙𝑜𝑔_{4}2+𝑙𝑜𝑔_{6}sqrt(6)   এর   মান   নিচের   কোনটি ?   [ ব .  বো .  ২০ ] [ টপিক :  লগের   মান   নির্ণয় ],(5)/(2),(1)/(2),0,1,ঘ,1,
৯৫,.   𝑙𝑜𝑔_{8}2+𝑙𝑜𝑔_{5}sqrt(5)=   কত ?,(5)/(6),(6)/(5),(7)/(2),𝑙𝑜𝑔_{40}2sqrt(5),ক,(5)/(6),
৯৬,.   𝑙𝑜𝑔_{sqrt(2)}4×𝑙𝑜𝑔_{sqrt(3)}3   এর   মান   কত ?   [ রা .  বো .  ১৭ ] [ টপিক :  লগের   মান   নির্ণয় ],4,6,8,12,গ,8,
৯৭,.   𝑙𝑜𝑔_{4}2+𝑙𝑜𝑔_{6}sqrt(6)=   কত ?   [ দি .  বো .  ১৬ ] [ টপিক :  লগের   মান   নির্ণয় ],(1)/(2),(1)/(3),(3)/(2),1,ঘ,1,
৯৮,".  𝑙𝑜𝑔_{𝑥}4+𝑙𝑜𝑔_{𝑥}8=5   হলে ,  𝑥   এর   মান   কত ? [ ব .  বো .  ২১ ] [ টপিক :  লগের   মান   নির্ণয় ]",2,4,8,32,ক,2,
